dxhy.name,force.mean,torque.mean,force.median,torque.median,force.sd,torque.sd,force.max,torque.max,force.skewness,torque.skewness,force.kurtosis,torque.kurtosis,force.IQR,torque.IQR,force.coefficient_of_variation,torque.coefficient_of_variation,spearman.correlation,pearson.correlation,spectral_density.df,spectral_density.bandwidth,dual.gini,force.gini,torque.gini,force.autocorr.mean,force.autocorr.sd,torque.autocorr.mean,torque.autocorr.sd,RUL
d9h21,302.653468,23.10946121,307.7311,28.58965,180.9208271,15.49375344,537.1574,537.1574,-0.297377305,-0.348935767,1.637126551,1.448384121,347.53855,30.750496,59.77821046,67.04506565,0.936483026,0.956079813,1.72440585,0.001202813,0.604758844,0.338602767,0.372415147,0.819945131,0.117729558,0.80659827,0.135596298,2
d9h22,331.8209242,26.12989354,357.0926,31.91402,193.5814805,14.36297298,559.0361,559.0361,-0.378190703,-0.448639559,1.654401757,1.656511031,349.7955,26.26259,58.33914209,54.96759089,0.889872888,0.927250596,1.739335771,0.001202813,0.595640348,0.327237887,0.303642559,0.808983335,0.126131496,0.791708454,0.139485792,1
d9h23,490.6034942,39.97191885,516.7372,38.56278,154.0955645,17.23432316,704.6995,704.6995,-0.892490055,-0.623863778,3.430829747,2.785284081,220.05945,23.27064,31.40938993,43.11607662,-0.03272868,0.359560525,1.667174487,0.000801875,0.513805184,0.17189347,0.240148514,0.755487188,0.13747972,0.791527148,0.120812559,0
d10h1,243.3767797,15.5276836,289.3836,17.95164,104.9675477,8.496354077,361.206,361.206,-1.116307303,-0.690723667,2.909966095,2.146532634,128.18445,12.965074,43.12964771,54.71746008,0.768929504,0.784568667,1.782632541,0.001443376,0.557408544,0.225107408,0.301733527,0.65352275,0.212028332,0.67482768,0.208460619,22
d10h2,251.3870254,17.51780776,297.88885,21.60845,110.6692741,9.48135053,373.5464,373.5464,-1.028767628,-0.752945061,2.749220866,2.10008891,144.6703,15.04280925,44.02346299,54.12406998,0.833478239,0.828835147,1.791590494,0.001443376,0.556415245,0.233946606,0.295149916,0.66157816,0.208911955,0.683060256,0.204081097,21
d10h3,258.3827599,18.38611219,300.91815,22.93821,118.2736431,10.30647673,383.1445,383.1445,-0.90682891,-0.680529909,2.50181776,1.921568213,172.0294,17.8685315,45.77458771,56.05576981,0.858097581,0.858281174,1.675468888,0.001336459,0.561895967,0.247108978,0.306131312,0.688576405,0.193804493,0.705820876,0.193631237,20
d10h4,252.7418432,17.94349111,291.08465,21.442235,122.5421387,10.66414957,390.0002,390.0002,-0.798696877,-0.555201633,2.316036468,1.775339942,192.0577,19.78004275,48.4851013,59.43185475,0.878039902,0.874461007,1.692057688,0.001336459,0.572120884,0.26546064,0.329541673,0.712523989,0.180473102,0.724446207,0.183804558,19
d10h5,253.8371443,17.71090875,292.7857,20.61114,123.2446073,10.52712955,396.856,396.856,-0.772617298,-0.552631001,2.335273354,1.825140288,189.69165,18.782735,48.55262915,59.43867534,0.896208173,0.879702761,1.683763288,0.001336459,0.573984263,0.267176385,0.330845001,0.707975349,0.185008643,0.721462648,0.187586443,18
d10h6,252.4799744,17.67433739,292.7857,21.27602,130.5588784,11.00403258,410.9737,410.9737,-0.652936406,-0.500726338,2.117646329,1.706647711,219.4733,21.276015,51.71058764,62.25994415,0.911525188,0.895373745,1.700352089,0.001336459,0.584411996,0.287378759,0.346554952,0.737552381,0.169627393,0.737198078,0.18293862,17
d10h7,255.8576664,17.8189916,291.6516,21.60845,131.4491808,10.82851064,428.0599,428.0599,-0.618139722,-0.539878543,2.131595223,1.754896347,212.4346,20.4449205,51.37590077,60.76949182,0.934722514,0.905462022,1.683763288,0.001336459,0.583956985,0.287132131,0.337252577,0.728414095,0.175044082,0.734662073,0.184524799,16
d10h8,253.9613379,17.81312365,295.0538,21.77467,128.4406218,10.98667619,409.5498,409.5498,-0.670840443,-0.531815262,2.181162076,1.745937851,203.678975,20.3618085,50.57487208,61.67742621,0.920366825,0.898900541,1.692057688,0.001336459,0.580696402,0.280915065,0.342561902,0.729482876,0.174063193,0.733620087,0.187698142,15
d10h9,249.6206307,17.47127444,288.2495,20.61114,134.0753066,11.30466102,418.0929,418.0929,-0.569378485,-0.420853665,2.042462605,1.631157549,221.7159,21.94089,53.71162883,64.70427251,0.931957813,0.905896323,1.733529691,0.001336459,0.591833652,0.300960533,0.362290345,0.756386287,0.159763032,0.758816056,0.171380535,14
d10h10,257.2090785,18.71687292,296.1878,22.43955,135.8555023,11.88375694,420.9406,420.9406,-0.593260398,-0.493170997,2.020742615,1.647607486,229.5406,22.938205,52.81909297,63.49221362,0.906226001,0.906048719,1.758412892,0.001336459,0.585993573,0.29523993,0.351731235,0.761558772,0.1533129,0.757073841,0.172017988,13
d10h11,258.362271,18.11181407,297.32185,23.7693,140.13952,11.76947374,420.9406,420.9406,-0.624171921,-0.487934464,1.983591263,1.576238242,233.6191,23.3537555,54.24148019,64.98230211,0.909360684,0.910211456,1.751777372,0.001283001,0.592069887,0.301491727,0.357615704,0.779115769,0.141789266,0.772900843,0.160925796,12
d10h12,239.9751072,17.21721611,270.105,22.27333,153.2789003,12.73925221,430.9076,430.9076,-0.390880295,-0.288368668,1.648720909,1.362723966,299.56283,27.924771,63.87283332,73.99135916,0.937342805,0.933087112,1.784125533,0.001202813,0.623748,0.359642266,0.409569952,0.802207821,0.139723974,0.827643508,0.126076074,11
d10h13,246.261813,17.83430817,299.6656,24.10174,144.0314312,12.28808544,412.3975,412.3975,-0.584404796,-0.429142678,1.80070014,1.463817784,261.617075,24.849727,58.48711557,68.90138557,0.907905679,0.925432455,1.776660573,0.001202813,0.603203041,0.32325952,0.377408198,0.801975095,0.128415146,0.804939981,0.138807233,10
d10h14,262.0300404,19.01955905,316.64355,25.76393,132.5406204,11.95050567,406.7021,406.7021,-0.799346057,-0.579401703,2.19922198,1.643250927,199.259175,22.5226635,50.58222342,62.83271679,0.847051277,0.905517977,1.687081048,0.001202813,0.576025474,0.274257097,0.340434193,0.765847643,0.147347236,0.763254081,0.168272303,9
d10h15,260.3361471,18.93616641,312.5301,25.93015,138.5644126,11.98943172,413.8214,413.8214,-0.704571253,-0.557061784,2.048892101,1.627198629,223.902025,22.93821,53.22519143,63.31498923,0.842159282,0.904362579,1.746800731,0.001202813,0.5850329,0.291899233,0.344368003,0.792005743,0.130888686,0.773588215,0.157689738,8
d10h16,272.0361141,20.49595423,300.8753,25.26527,165.784276,14.40036423,512.3615,512.3615,-0.324695132,-0.298810103,1.725213467,1.433815519,298.536475,28.67275325,60.94201006,70.25954521,0.93762436,0.933205116,1.702010969,0.001202813,0.611479109,0.346763549,0.392577401,0.814310388,0.121992275,0.807238107,0.135760885,7
